eventDate,CONML,CONM,With_Twitter_account,twitter_acc_company_name,twitter_account_name,code
10/11/14,LifeLock Inc,LIFELOCK INC,Yes,LifeLock,@LifeLock,13616
7/9/17,Lifevantage Corp,LIFEVANTAGE CORP,Yes,LifeVantage,@lifevantage,13599
8/11/16,Lifeway Foods Inc,LIFEWAY FOODS INC,Yes,"Lifeway Foods,Inc.",@lifeway_kefir,12209
15/8/16,Lifeway Foods Inc,LIFEWAY FOODS INC,Yes,"Lifeway Foods,Inc.",@lifeway_kefir,12209
1/4/13,Lifeway Foods Inc,LIFEWAY FOODS INC,Yes,"Lifeway Foods,Inc.",@lifeway_kefir,12209
9/11/16,Ligand Pharmaceuticals Inc,LIGAND PHARMACEUTICAL INC,Yes,Ligand,@Ligand_LGND,78081
26/2/16,Ligand Pharmaceuticals Inc,LIGAND PHARMACEUTICAL INC,Yes,Ligand,@Ligand_LGND,78081
14/9/15,Lightbridge Corp,LIGHTBRIDGE CORP,Yes,Lightbridge Corp,@LightbridgeCorp,93083
20/2/14,Limelight Networks Inc,LIMELIGHT NETWORKS INC,Yes,Limelight Networks,@llnw,92097
9/3/15,Limoneira Co,LIMONEIRA CO,Yes,Limoneira,@LimoneiraCo,93397
12/1/15,Limoneira Co,LIMONEIRA CO,Yes,Limoneira,@LimoneiraCo,93397
6/2/13,Lincoln National Corp,LINCOLN NATIONAL CORP,Yes,Lincoln Financial,@lincolnfingroup,49015
5/8/16,Littelfuse Inc,LITTELFUSE INC,Yes,Littelfuse,@Littelfuse,77918
5/2/14,Littelfuse Inc,LITTELFUSE INC,Yes,Littelfuse,@Littelfuse,77918
19/6/15,Live Oak Bancshares Inc,LIVE OAK BANCSHARES INC,Yes,Live Oak Bank,@LiveOakBank,15527
22/5/14,"Logitech International SA, A",LOGITECH INTERNATIONAL SA,Yes,Logitech,@Logitech,84621
7/8/13,"Logitech International SA, A",LOGITECH INTERNATIONAL SA,Yes,Logitech,@Logitech,84621
19/1/16,Loop Industries Inc,LOOP INDUSTRIES INC,Yes,loop industries,@loopindustries,17116
24/3/14,Luby's Inc.,LUBYS INC,Yes,Luby's,@lubys,64020
4/2/16,Lumentum Holdings Inc,LUMENTUM HOLDINGS INC,Yes,Lumentum,@Lumentum,15490
25/9/15,Lumentum Holdings Inc,LUMENTUM HOLDINGS INC,Yes,Lumentum,@Lumentum,15490
25/2/15,Luminex Corp,LUMINEX CORP,Yes,Luminex,@Luminex,87789
14/8/15,Luna Innovations Inc,LUNA INNOVATIONS INC,Yes,Luna,@lunainnovations,91359
25/3/15,MabVax Therapeutics Holdings,MABVAX THERAPEUTICS HLDGS,Yes,MabVax Therapeutics,@MabVaxThera,88572
12/8/15,MACOM Technology Solutions H,M/ACOM TECHNOLOGY SOLUTIONS,Yes,MACOM,@MACOMtweets,13326
31/3/17,MagneGas Corp,MAGNEGAS CORP,Yes,MagneGas Corporation,@MagneGas,13556
21/12/17,Magyar Bancorp Inc,MAGYAR BANCORP INC,Yes,Magyar Bank,@MagyarBank,91083
