eventDate,CONML,CONM,With_Twitter_account,twitter_acc_company_name,twitter_account_name,code
24/3/16,CPI Card Group Inc,CPI CARD GROUP INC,Yes,CPI Card Group,@CPICardGroup,15793
8/7/15,CPI Card Group Inc,CPI CARD GROUP INC,Yes,CPI Card Group,@CPICardGroup,15793
1/8/14,CRA International Inc,CRA INTERNATIONAL INC,Yes,Charles River Associ,@News_CRA,85972
9/5/13,CRA International Inc,CRA INTERNATIONAL INC,Yes,Charles River Associ,@News_CRA,85972
26/4/16,Cree Inc.,CREE INC,Yes,Cree Inc.,@Cree,78875
18/3/14,Cross Country Healthcare Inc,CROSS COUNTRY HEALTHCARE IN,Yes,C_C_Healthcare,@C_C_Healthcare,89167
18/3/13,Cross Country Healthcare Inc,CROSS COUNTRY HEALTHCARE IN,Yes,C_C_Healthcare,@C_C_Healthcare,89167
13/2/13,Crumbs Bake Shop Inc,CRUMBS BAKE SHOP INC,Yes,Crumbs Bake Shop,@CrumbsBakeShop,12883
29/2/16,CSG Systems International In,CSG SYSTEMS INTL INC,Yes,CSG,@csg_i,83124
15/1/14,CSX Corp,CSX CORP,Yes,CSX,@CSX,62148
21/3/13,CTPartners Executive Search,CTPARTNERS EXEC SEARCH INC,Yes,CTPartners,@CTPartnersNews,12440
13/4/17,Ctrip.com International Ltd,CTRIP.COM INTL LTD,Yes,The Ctrip Team,@CtripEnglish,89927
9/8/13,CubeSmart,CUBESMART,Yes,CubeSmart Storage,@CubeSmart,90396
10/2/14,Cubic Corp,CUBIC CORP,Yes,Cubic Corporation,@CubicCorp,31077
10/5/17,CUI Global Inc,CUI GLOBAL INC,Yes,"CUI Global, Inc.",@CUI_Global,13265
9/5/16,CUI Global Inc,CUI GLOBAL INC,Yes,"CUI Global, Inc.",@CUI_Global,13265
16/3/15,CUI Global Inc,CUI GLOBAL INC,Yes,"CUI Global, Inc.",@CUI_Global,13265
12/5/14,CUI Global Inc,CUI GLOBAL INC,Yes,"CUI Global, Inc.",@CUI_Global,13265
