eventDate,CONML,CONM,With_Twitter_account,twitter_acc_company_name,twitter_account_name,code
27/2/17,Bank of Hawaii Corp,BANK OF HAWAII CORP,Yes,Bank of Hawaii,@BankofHawaii,16548
7/8/15,Bankrate Inc,BANKRATE INC,Yes,Bankrate,@Bankrate,12835
15/9/14,Bankrate Inc,BANKRATE INC,Yes,Bankrate,@Bankrate,12835
25/6/13,Barnes & Noble Inc,BARNES & NOBLE INC,Yes,Barnes & Noble,@BNBuzz,79667
26/2/15,Baxter International Inc,BAXTER INTERNATIONAL INC,Yes,Baxter International,@baxter_intl,27887
25/6/15,Bazaarvoice Inc,BAZAARVOICE INC,Yes,Bazaarvoice,@Bazaarvoice,13261
27/10/17,BB&T Corp,BB&T CORP,Yes,BB&T,@BBT,71563
8/8/13,Beam Inc,BEAM INC,Yes,Beam Suntory,@beamsuntory,10225
2/2/17,"Becton, Dickinson and Co",BECTON DICKINSON & CO,Yes,BD,@BDandCo,39642
9/5/17,Belmond Ltd,BELMOND LTD,Yes,Belmond,@belmond,88495
26/2/13,Belmond Ltd,BELMOND LTD,Yes,Belmond,@belmond,88495
22/10/15,Benchmark Electronics Inc,BENCHMARK ELECTRONICS INC,Yes,BenchmarkElectronics,@BenchElec,76224
6/3/14,Benefitfocus Inc,BENEFITFOCUS INC,Yes,Benefitfocus,@Benefitfocus,14149
18/3/13,Berkshire Hills Bancorp Inc,BERKSHIRE HILLS BANCORP INC,Yes,Berkshire Bank,@BerkshireBank,88280
9/11/15,BioAmber Inc,BIOAMBER INC,Yes,BioAmber Inc.,@BioAmber,13977
28/3/14,BioAmber Inc,BIOAMBER INC,Yes,BioAmber Inc.,@BioAmber,13977
14/8/13,Bioanalytical Systems Inc,BIOANALYTICAL SYSTEMS INC,Yes,BASi,@BASi_news,85526
8/5/14,Bio-Rad Laboratories Inc.,BIO-RAD LABORATORIES INC,Yes,Bio-Rad Life Science,@BioRadLifeSci,61516
7/11/14,Bio-Rad Laboratories Inc.,BIO-RAD LABORATORIES INC,Yes,Bio-Rad Life Science,@BioRadLifeSci,61516
12/11/13,Bio-Rad Laboratories Inc.,BIO-RAD LABORATORIES INC,Yes,Bio-Rad Life Science,@BioRadLifeSci,61516
10/5/13,Bio-Rad Laboratories Inc.,BIO-RAD LABORATORIES INC,Yes,Bio-Rad Life Science,@BioRadLifeSci,61516
5/5/17,Black Hills Corp,BLACK HILLS CORP,Yes,Black Hills Corp.,@blackhillscorp,61946
4/8/15,Black Hills Corp,BLACK HILLS CORP,Yes,Black Hills Corp.,@blackhillscorp,61946
17/3/14,Blackhawk Network Holdings I,BLACKHAWK NETWORK HLDGS INC,Yes,Blackhawk Network,@Blackhawk,13875
6/3/17,BlackRock Energy and Resourc,BLACKROCK ENERGY AND RES TR,Yes,BlackRock,@blackrock,90495
2/9/16,BlackRock Energy and Resourc,BLACKROCK ENERGY AND RES TR,Yes,BlackRock,@blackrock,90495
6/3/17,BlackRock Enhanced Capital a,BLACKROCK ENHANCED CAP & IN,Yes,BlackRock,@blackrock,90103
2/9/16,BlackRock Enhanced Capital a,BLACKROCK ENHANCED CAP & IN,Yes,BlackRock,@blackrock,90103
6/3/17,BlackRock Enhanced Equity Di,BLACKROCK ENHNCD EQTY DIV T,Yes,BlackRock,@blackrock,90827
2/9/16,BlackRock Enhanced Equity Di,BLACKROCK ENHNCD EQTY DIV T,Yes,BlackRock,@blackrock,90827
6/3/17,BlackRock Enhanced Global Di,BLACKROCK ENHANCED GL DVD T,Yes,BlackRock,@blackrock,90675
2/9/16,BlackRock Enhanced Global Di,BLACKROCK ENHANCED GL DVD T,Yes,BlackRock,@blackrock,90675
6/3/17,BlackRock Enhanced Internati,BLACKROCK ENHANCED INT DV T,Yes,BlackRock,@blackrock,91978
2/9/16,BlackRock Enhanced Internati,BLACKROCK ENHANCED INT DV T,Yes,BlackRock,@blackrock,91978
1/4/16,BlackRock Enhanced Internati,BLACKROCK ENHANCED INT DV T,Yes,BlackRock,@blackrock,91978
6/3/17,BlackRock Health Sciences Tr,BLACKROCK HEALTH SCIENCES T,Yes,BlackRock,@blackrock,90607
2/9/16,BlackRock Health Sciences Tr,BLACKROCK HEALTH SCIENCES T,Yes,BlackRock,@blackrock,90607
6/3/17,Blackrock Resources & Commod,BLACKROCK RESOURCES & CMD S,Yes,BlackRock,@blackrock,12593
2/9/16,Blackrock Resources & Commod,BLACKROCK RESOURCES & CMD S,Yes,BlackRock,@blackrock,12593
17/6/15,Block H&R Inc,BLOCK H & R INC,Yes,H&R Block,@HRBlock,49373
19/6/14,Block H&R Inc,BLOCK H & R INC,Yes,H&R Block,@HRBlock,49373
27/10/16,Blucora Inc,BLUCORA INC,Yes,Blucora,@Blucora,86544
23/5/16,Blue Bird Corp,BLUE BIRD CORP,Yes,Blue Bird Corp.,@BlueBirdBuses,14543
15/12/15,Blue Bird Corp,BLUE BIRD CORP,Yes,Blue Bird Corp.,@BlueBirdBuses,14543
19/6/15,Bob Evans Farms Inc.,BOB EVANS FARMS,Yes,Bob Evans Farm,@BobEvansFarms,18570
2/12/15,Bob Evans Farms Inc.,BOB EVANS FARMS,Yes,Bob Evans Farm,@BobEvansFarms,18570
3/12/14,Bob Evans Farms Inc.,BOB EVANS FARMS,Yes,Bob Evans Farm,@BobEvansFarms,18570
21/6/13,Bob Evans Farms Inc.,BOB EVANS FARMS,Yes,Bob Evans Farm,@BobEvansFarms,18570
1/5/13,Bob Evans Farms Inc.,BOB EVANS FARMS,Yes,Bob Evans Farm,@BobEvansFarms,18570
5/12/13,Bob Evans Farms Inc.,BOB EVANS FARMS,Yes,Bob Evans Farm,@BobEvansFarms,18570
17/3/14,Boingo Wireless Inc,BOINGO WIRELESS INC,Yes,Boingo Wireless,@boingo,12798
28/2/17,BOK Financial Corp,BOK FINANCIAL CORP,Yes,BOK Financial,@BOKFinancial,76892
29/5/15,Boot Barn Holdings Inc,BOOT BARN HOLDINGS INC,Yes,Boot Barn,@bootbarn,14953
9/5/14,Borderfree Inc,BORDERFREE INC,Yes,Shop Borderfree,@ShopBorderfree,14537
8/5/14,Bovie Medical Corp,BOVIE MEDICAL CORP,Yes,Bovie Medical,@BovieMed,89891
25/9/13,Bovie Medical Corp,BOVIE MEDICAL CORP,Yes,Bovie Medical,@BovieMed,89891
9/5/14,Boyd Gaming Corp,BOYD GAMING CORP,Yes,Boyd Gaming Corp,@boydgaming,79758
10/5/13,Boyd Gaming Corp,BOYD GAMING CORP,Yes,Boyd Gaming Corp,@boydgaming,79758
12/5/14,Bridgepoint Education Inc,BRIDGEPOINT EDUCATION INC,Yes,BridgepointEducation,@Bridgepoint_Ed,92902
10/5/13,Bridgepoint Education Inc,BRIDGEPOINT EDUCATION INC,Yes,BridgepointEducation,@Bridgepoint_Ed,92902
28/7/16,Brink's Co (The),BRINKS CO,Yes,Brink's,@Brinks,18649
28/2/14,BroadSoft Inc,BROADSOFT INC,Yes,"BroadSoft, Inc.",@BroadSoftNews,93428
6/2/14,Broadwind Energy Inc,BROADWIND ENERGY INC,Yes,Broadwind Energy,@Broadwind,92917
28/7/16,Brooks Automation Inc,BROOKS AUTOMATION INC,Yes,Brooks Automation,@BrooksGlobal,81241
10/11/16,Build-A-Bear Workshop Inc,BUILD-A-BEAR WORKSHOP INC,Yes,Build-A-Bear Worksho,@buildabear,90371
9/6/15,Burlington Stores Inc,BURLINGTON STORES INC,Yes,Burlington,@Burlington,14182
24/7/14,Cabot Microelectronics Corp,CABOT MICROELECTRONICS CORP,Yes,Cabot Micro,@CabotMicroCorp,88152
8/8/13,Cadiz Inc,CADIZ INC,Yes,Cadiz Inc.,@Cadiz_Inc,85570
17/3/14,Caesars Entertainment Corp,CAESARS ENTERTAINMENT CORP,Yes,Caesars Entertainmen,@CaesarsEnt,13267
2/5/17,CafePress Inc,CAFEPRESS INC,Yes,CafePress,@cafepress,13329
7/3/17,CafePress Inc,CAFEPRESS INC,Yes,CafePress,@cafepress,13329
31/3/15,CafePress Inc,CAFEPRESS INC,Yes,CafePress,@cafepress,13329
13/3/17,CAI International Inc,CAI INTERNATIONAL INC,Yes,CAI International,@caimoves,91979
30/12/15,Calavo Growers Inc,CALAVO GROWERS INC,Yes,Calavo Growers,@calavo,89447
15/1/15,Calavo Growers Inc,CALAVO GROWERS INC,Yes,Calavo Growers,@calavo,89447
15/9/14,Calavo Growers Inc,CALAVO GROWERS INC,Yes,Calavo Growers,@calavo,89447
7/11/13,Callidus Software Inc,CALLIDUS SOFTWARE INC,Yes,CallidusCloud,@CallidusCloud,89905
30/3/15,CardConnect Corp,CARDCONNECT CORP,Yes,CardConnect,@CardConnect,15292
9/3/17,Care.com Inc,CARE.COM INC,Yes,Care.com,@CareDotCom,14378
29/10/15,Care.com Inc,CARE.COM INC,Yes,Care.com,@CareDotCom,14378
27/3/15,Carnival Corp,CARNIVAL CORP/PLC (USA),Yes,Carnival Corporation,@CarnivalPLC,75154
7/5/15,Carpenter Technology Corp,CARPENTER TECHNOLOGY CORP,Yes,Carpenter Technology,@CarpenterTech,20618
2/5/14,Carpenter Technology Corp,CARPENTER TECHNOLOGY CORP,Yes,Carpenter Technology,@CarpenterTech,20618
23/10/14,Carter's Inc.,CARTER'S INC,Yes,Carter's,@Carters,89876
20/7/17,Carver Bancorp Inc.,CARVER BANCORP INC,Yes,Carver Bank,@CarverBankNYC,80960
17/2/17,Carver Bancorp Inc.,CARVER BANCORP INC,Yes,Carver Bank,@CarverBankNYC,80960
30/6/16,Carver Bancorp Inc.,CARVER BANCORP INC,Yes,Carver Bank,@CarverBankNYC,80960
24/11/14,Casey's General Stores Inc.,CASEYS GENERAL STORES INC,Yes,Casey's Gen Store,@caseysgenstore,21742
13/3/15,Cash America International I,CASH AMERICA INTL INC,Yes,Cash America,@cashamerica,75215
2/5/14,Cash America International I,CASH AMERICA INTL INC,Yes,Cash America,@cashamerica,75215
8/9/14,Catalent Inc,CATALENT INC,Yes,Catalent Pharma,@CatalentPharma,14763
1/8/14,Caterpillar Inc,CATERPILLAR INC,Yes,Caterpillar Inc.,@CaterpillarInc,18542
1/8/14,Caterpillar Inc,CATERPILLAR INC,Yes,Caterpillar Inc.,@CaterpillarInc,18542
2/5/13,Caterpillar Inc,CATERPILLAR INC,Yes,Caterpillar Inc.,@CaterpillarInc,18542
3/6/16,Cato Corp (The),CATO CORP  -CL A,Yes,Cato Fashions,@CatoFashions,11267
30/3/15,Cato Corp (The),CATO CORP  -CL A,Yes,Cato Fashions,@CatoFashions,11267
14/8/17,CDTi Advanced Materials Inc,CDTI ADVANCED MATERIALS INC,Yes,CDTi Advanced Materi,@CDTi_Emissions,82678
22/11/17,CEL-SCI Corp,CEL-SCI CORP,Yes,CEL-SCI Corporation,@CelSciCorp,44813
15/8/17,CEL-SCI Corp,CEL-SCI CORP,Yes,CEL-SCI Corporation,@CelSciCorp,44813
31/3/15,Celyad SA,CELYAD SA,Yes,Celyad,@CelyadSA,15419
11/10/16,Centrais Eletricas Brasileir,ELETROBRAS-CENTR ELETR BRAS,Yes,Eletrobras,@Eletrobras,92802
27/2/14,CenturyLink Inc,CENTURYLINK INC,Yes,CenturyLink,@CenturyLink,60599
29/7/16,Champions Oncology Inc,CHAMPIONS ONCOLOGY INC,Yes,Champions Oncology,@ChampsOnco,12146
3/11/15,Checkpoint Systems Inc,CHECKPOINT SYSTEMS INC,Yes,Checkpoint Systems,@CheckpointSys,22921
18/3/14,Checkpoint Systems Inc,CHECKPOINT SYSTEMS INC,Yes,Checkpoint Systems,@CheckpointSys,22921
12/3/14,Chefs' Warehouse Inc (The),CHEFS' WAREHOUSE INC,Yes,The Chefs' Warehouse,@WhereChefsShop,12913
5/6/15,Chemours Co (The),CHEMOURS CO,Yes,The Chemours Company,@chemours,15398
3/3/17,Chesapeake Energy Corp,CHESAPEAKE ENERGY CORP,Yes,Chesapeake Energy,@Chesapeake,78877
6/11/13,Chesapeake Energy Corp,CHESAPEAKE ENERGY CORP,Yes,Chesapeake Energy,@Chesapeake,78877
27/5/16,Chico's FAS Inc.,CHICOS FAS INC,Yes,Chico's¨,@Chicos,78963
18/3/13,Chiquita Brands Internationa,CHIQUITA BRANDS INTL INC,Yes,Chiquita,@Chiquita,89329
5/8/14,Choice Hotels International,CHOICE HOTELS INTL INC,Yes,Choice Hotels,@ChoiceHotels,85517
26/7/13,Choice Hotels International,CHOICE HOTELS INTL INC,Yes,Choice Hotels,@ChoiceHotels,85517
8/5/13,Choice Hotels International,CHOICE HOTELS INTL INC,Yes,Choice Hotels,@ChoiceHotels,85517
30/10/13,Chubb Ltd,CHUBB LTD,Yes,Chubb,@Chubb,79057
21/12/15,Ciena Corp,CIENA CORP,Yes,Ciena,@Ciena,84519
9/11/15,CIRCOR International Inc,CIRCOR INTL INC,Yes,CIRCOR,@CIRCORint,87268
29/7/15,CIRCOR International Inc,CIRCOR INTL INC,Yes,CIRCOR,@CIRCORint,87268
