eventDate,CONML,CONM,With_Twitter_account,twitter_acc_company_name,twitter_account_name,code
16/7/15,Sonoco Products Co,SONOCO PRODUCTS CO,Yes,Sonoco,@Sonoco_Products,71176
1/5/13,Sonoco Products Co,SONOCO PRODUCTS CO,Yes,Sonoco,@Sonoco_Products,71176
14/4/15,Sotherly Hotels Inc,SOTHERLY HOTELS INC,Yes,Sotherly Hotels,@sotherlyhotels,90506
2/11/17,SP Plus Corp,SP PLUS CORP,Yes,SP+ Corporation,@SPPlusCorp,90194
30/6/14,Spark Energy Inc,SPARK ENERGY INC,Yes,Spark Energy,@SparkEnergy,14830
23/7/15,Sparton Corp,SPARTON CORP,Yes,Sparton Corporation,@SpartonCorp,17523
26/2/16,Spirit Realty Capital Inc,SPIRIT REALTY CAPITAL INC,Yes,SpiritRealtyCapital,@SpiritRealty,14039
19/10/16,Spirit Realty Capital Inc,SPIRIT REALTY CAPITAL INC,Yes,SpiritRealtyCapital,@SpiritRealty,14039
2/3/17,Spok Holdings Inc,SPOK HOLDINGS INC,Yes,Spok,@spoktweets,90464
27/10/16,Spok Holdings Inc,SPOK HOLDINGS INC,Yes,Spok,@spoktweets,90464
18/3/13,Spok Holdings Inc,SPOK HOLDINGS INC,Yes,Spok,@spoktweets,90464
9/5/13,Sprouts Farmers Market Inc,SPROUTS FARMERS MARKET,Yes,Sprouts,@sproutsfm,14102
27/2/17,Square Inc,SQUARE INC,Yes,Square,@Square,15826
16/2/17,STAG Industrial Inc,STAG INDUSTRIAL INC,Yes,STAG Industrial,@STAGIndustrial,12681
28/1/14,Starbucks Corp,STARBUCKS CORP,Yes,Starbucks Coffee,@Starbucks,77702
22/3/17,Stars Group Inc,STARS GROUP INC,Yes,The Stars Group,@thestarsgroup,15411
8/3/13,State Auto Financial Corp,STATE AUTO FINANCIAL CORP,Yes,State Auto Insurance,@StateAuto,76722
19/2/16,State Street Corp,STATE STREET CORP,Yes,State Street,@StateStreet,72726
28/7/16,Stericycle Inc,STERICYCLE INC,Yes,Stericycle Inc,@Stericycle_Inc,83906
7/8/14,Stericycle Inc,STERICYCLE INC,Yes,Stericycle Inc,@Stericycle_Inc,83906
17/12/13,Streamline Health Solutions,STREAMLINE HEALTH SOLUTIONS,Yes,Streamline Health,@STRM_Health,83391
6/8/14,Sucampo Pharmaceuticals Inc,SUCAMPO PHARMACEUTICALS INC,Yes,Sucampo Pharma,@Sucampo_Pharma,92226
12/3/14,Sucampo Pharmaceuticals Inc,SUCAMPO PHARMACEUTICALS INC,Yes,Sucampo Pharma,@Sucampo_Pharma,92226
15/12/14,Summit Hotel Properties Inc,SUMMIT HOTEL PROPERTIES INC,Yes,Summit Hotel Propert,@SummitHotel_INN,12566
26/2/14,Sunoco LP,SUNOCO LP,Yes,Sunoco Racing,@SunocoRacing,13584
22/7/15,Sunrun Inc,SUNRUN INC,Yes,Sunrun Solar,@Sunrun,15643
11/5/17,Sunworks Inc,SUNWORKS INC,Yes,Sunworks Inc.,@SunworksSolar,15273
