eventDate,CONML,CONM,With_Twitter_account,twitter_acc_company_name,twitter_account_name,code
30/11/09,Sonic Foundry Inc,SONIC FOUNDRY INC,Ye,Mediasite,@Mediasite,85953
15/5/09,Medidata Solutions,MEDIDATA SOLUTIONS,Ye,Medidata,@Medidata,92940
31/3/10,Medifast Inc.,MEDIFAST INC,Ye,Medifast,@Medifast,80054
16/3/11,Medifast Inc.,MEDIFAST INC,Ye,Medifast,@Medifast,80054
10/5/12,Merit Medical Syste,MERIT MEDICAL SYSTE,Ye,Merit Medical,@MeritMedical,76392
4/2/10,MICROS Systems Inc,MICROS SYSTEMS INC,Ye,"Micros Systems, Inc.",@MicrosFidelio,53480
14/6/11,Modine Manufacturin,MODINE MANUFACTURIN,Ye,Modine Manufacturing,@ModineMfg,54704
1/6/12,Modine Manufacturin,MODINE MANUFACTURIN,Ye,Modine Manufacturing,@ModineMfg,54704
12/3/12,Steel Connect Inc,STEEL CONNECT INC,Ye,ModusLink,@ModusLink,80114
3/8/10,Molex Inc.,MOLEX INC,Ye,Molex,@MolexConnectors,54827
25/10/12,Molex Inc.,MOLEX INC,Ye,Molex,@MolexConnectors,54827
30/9/10,Mahanagar Telephone,MAHANAGAR TELEPHONE,Ye,MTNL,@MTNLOfficial,89192
23/11/12,Mueller Water Produ,MUELLER WATER PRODU,Ye,MuellerWaterProducts,@MuellerWaterPro,91234
18/6/12,Natural Grocers by,NATURAL GROCERS VIT,Ye,Natural Grocers,@NaturalGrocers,13508
21/5/09,Nature's Sunshine P,NATURES SUNSHINE PR,Ye,Nature's Sunshine¨,@naturessunshine,56945
9/11/09,Neenah Paper Inc,NEENAH PAPER INC,Ye,Neenah Paper,@NeenahPaper,90440
5/11/10,Neenah Paper Inc,NEENAH PAPER INC,Ye,Neenah Paper,@NeenahPaper,90440
23/6/11,NetApp Inc,NETAPP INC,Ye,NetApp,@NetApp,82598
22/7/09,NETGEAR Inc,NETGEAR INC,Ye,NETGEAR,@NETGEAR,89800
10/6/08,Nordstrom Inc.,NORDSTROM INC,Ye,Nordstrom,@Nordstrom,57817
8/2/12,Northrop Grumman Co,NORTHROP GRUMMAN CO,Ye,Northrop Grumman,@northropgrumman,24766
6/3/09,NutriSystem Inc,NUTRISYSTEM INC,Ye,Nutrisystem,@Nutrisystem,88379
25/4/12,Oclaro Inc,OCLARO INC,Ye,"Oclaro, Inc.",@OclaroInc,90354
10/10/12,Ocz Technology Grou,OCZ TECHNOLOGY GROU,Ye,"Oclaro, Inc.",@OclaroInc,93355
